community,GEOID,Longitude,Latitude,HCSRCP_2016-2018,HCSRCP_2015-2017,UNS_2015-2019,CZD_2019,CZD_2018,CZD_2017,CZD_2016,CZM_2019,CZM_2018,CZM_2017,CZM_2016,CZR_2019,CZR_2018,CZR_2017,CZR_2016,CZS_2019,CZS_2018,CZS_2017,CZS_2016,CZV_2019,CZV_2018,CZV_2017,CZV_2016,TRF_2019,TRF_2018,TRF_2017,TRF_2016,PMC_2019,PMC_2018,PMC_2017,PMC_2016,MEODR_2019,MEODR_2018,MEODR_2017,MEODR_2016,CCG_2015-2019,CCR_2015-2019,HCSOBP_2016-2018,HCSOBP_2015-2017,DIS_2015-2019,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSNSP_2016-2018,HCSNSP_2015-2017,EDB_2015-2019,EDE_2015-2019,UMP_2015-2019,POV_2015-2019,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,LEQ_2015-2019,POP_2015-2019,VRALR_2015-2019,VRDIDR_2015-2019,VRDO_2015-2019,VRSUR_2015-2019,VRCAR_2015-2019,VRDI_2015-2019,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,PARK_VEGETATED_SQFT,ROOF_VEGETATED_SQFT,Park Count,Roof Count,TOTAL_VEGETATED_SQFT,AVG_PARK_SQFT,AVG_ROOF_SQFT,TOTAL_COM_AREA_SQFT
BURNSIDE,47.0,-87.59647,41.728181,97.0,100.0,15.4921796007356,25.891685,28.813103,19.867668,12.929949,141.225665,155.16191,136.37792,140.242968,19.871666,23.861495,9.98593,13.933767,1.004621,2.994424,1.990937,4.96892,55.687994,57.686696,52.713137,43.751808,75.1630552221671,89.1527747824609,88.0884959058504,88.5160672532755,9.77998131500557,13.2823292296975,11.6424602718967,11.9380252603964,21.8,36.0,0.0,0.0,87.8953459,497.0373265,35.62,38.18,27.8487070235278,58.9,81.8,48.8,71.91999999999999,84.5989271945057,15.0458075775804,20.1272778552598,15.7085854899638,34.160000000000004,45.5,33.42,31.419999999999998,0.810578101713841,1996.719897,7.2,37.6,6.0,0.0,171.6,59.0,72.644522088,70.24801757,68.9951,70.4722,70.2,231303.6,0.0,1.0,0.0,231303.6,231303.6,12900.813333333334,17005824.0
CALUMET HEIGHTS,48.0,-87.57272,41.729673,84.4,85.9,6.95451543408498,90.871105,36.988505,27.990426,38.960602,511.45918,492.475913,579.271458,600.305296,40.976762,43.970882,67.893423,57.935457,9.979524,10.981582,5.994644,7.994876,133.87199,134.866446,152.836617,141.867432,680.400618720231,814.017253107338,793.383182067736,811.204734550105,9.72400320357858,13.2634703213401,11.6213036298404,11.8777651818266,32.5,9.4,0.0,0.0,85.9263368,686.3498692,35.0,31.1,17.0363174676534,77.0,78.1,86.4,92.9,91.38300553417,26.1514592480946,9.08322028847087,15.6659033164236,32.7,17.2,50.1,49.6,1.34882931974402,12798.740461,12.3,20.8,16.0,11.2,188.3,377.0,74.765684435,73.53857853,73.605,74.4935,74.6,750538.8,3873.0,1.0,1.0,754411.8,750538.8,3873.0,48787200.0
ROSELAND,49.0,-87.623366,41.706588,88.7,87.5,7.34588743003122,294.515988,318.395463,289.465998,380.470335,2157.847628,2347.345375,2535.991094,2658.833003,205.496466,259.411173,331.602258,348.614864,43.073759,42.04266,44.081687,55.000109,719.636205,789.222852,839.498375,919.262807,1658.01419175584,1543.47810238028,1529.55764142868,1548.68431670157,9.80542086014346,13.2910454200511,11.6476822704807,11.9561023225265,34.6,28.9,48.1,48.1,100.0942324,670.2019355,52.4,52.6,15.2786790500233,75.4,71.9,64.8,65.8,85.1286010855833,20.6048361147919,20.138681828876,23.4093236287476,31.6,37.3,33.2,31.7,0.148627613358403,39252.989495,7.6,41.2,92.0,6.9,209.8,1151.0,71.468448914,70.59815966,70.7762,72.2114,73.3,3985740.0,25446.0,6.0,2.0,4011186.0,664290.0,12723.0,134373888.0
NORTH CENTER,5.0,-87.683839,41.947811,76.6,80.3,3.04988745205754,16.971433,14.966171,19.964156,33.940363,647.075448,727.34471,811.264709,729.275487,24.040391,36.095645,51.015329,47.063283,6.00871,4.026345,9.99839,9.001677,53.16193,73.204457,89.110302,87.14578,821.464548148252,733.670798327396,738.650172598123,730.812891809332,9.68897037536576,12.8649690234447,11.3775338303734,11.8631108564214,11.1,1.4,9.3,9.3,48.99000849,545.3590122,16.6,18.1,5.51122287636457,83.4,89.1,95.3,98.5,93.1553706677788,72.2992730188542,2.76752887700934,5.28934818053859,15.7,17.3,24.3,18.7,2.42125983844456,35603.029202,6.0,12.6,18.0,8.5,144.3,216.0,82.971569893,81.30026136,81.5534,82.1327,81.6,1751983.2,15006.0,6.0,3.0,1766989.2,291997.2,5002.0,57150719.99999999
PULLMAN,50.0,-87.598252,41.706131,89.8,89.8,5.93907580829142,35.204503,27.183438,32.10783,30.191885,390.139353,452.694082,430.576796,438.861687,20.211522,20.285828,23.250371,37.317975,7.014098,6.050551,5.02475,5.026959,83.732358,80.726155,60.853871,92.856472,1638.76920781564,1263.35900094596,1259.9111260485,1198.20804205444,9.76540739165855,13.2909158588713,11.6407302416116,11.9203227441654,42.9,9.9,44.7,44.7,115.8482558,708.2126005,32.3,28.3,16.253232522477,87.9,82.4,79.2,89.4,89.3378562928724,22.8252112945433,15.8933971361841,19.7431866194561,19.8,26.3,18.0,26.72,2.15320198153839,6881.377037,2.4,33.9,12.0,9.4,218.5,145.0,73.149310568,72.8216914,71.5316,71.849,72.8,1205305.2,0.0,4.0,0.0,1205305.2,301326.3,12327.060000000001,59102208.0
SOUTH DEERING,51.0,-87.570058,41.690639,89.5,85.4,8.14282257824333,66.898771,49.943012,51.855338,58.940531,753.546462,721.580879,709.053526,739.37297,43.811275,54.795537,49.832546,65.742002,8.948195,13.991912,7.021994,6.002612,170.35366,167.687213,177.589869,184.594404,426.208117278641,294.913586362986,283.332437481619,287.324514845189,9.7102780434796,13.2724629371776,11.6198736016609,11.8597374123463,36.7,20.2,26.9,26.9,109.8725691,674.8773855,40.8,42.4,11.9257828163215,82.5,83.3,60.3,63.4,75.210821603451,12.6484714791419,16.1288062386211,38.2696391576618,34.9,37.6,36.4,28.2,6.50640683789714,15488.044697,11.6,26.3,18.0,2.8,213.1,291.0,73.974569516,74.30671578,74.3551,74.7152,74.1,16630772.4,3351.0,9.0,2.0,16634123.4,1847863.6,1675.5,303874560.0
EAST SIDE,52.0,-87.534907,41.707306,68.5,73.7,10.4207828280324,48.08866,37.157796,36.758815,45.196204,296.177016,350.766574,393.029115,423.980645,19.246014,30.264947,16.242813,23.252077,1.132071,8.055855,8.057111,2.940741,86.005327,104.939998,107.494576,96.13222,811.631484879223,789.160834359718,800.838134807337,793.601368842289,9.63725009645779,13.2400031823498,11.5781621932342,11.7822444910527,17.7,4.7,15.0,15.0,66.15947832,528.0796416,31.0,35.5,11.3015800505853,78.3,74.7,62.3,69.3,68.0130297432839,11.578132427142,10.0293823407263,17.9197522098177,29.6,28.7,49.4,43.0,13.8237479317295,23448.75298,6.0,17.8,18.0,5.7,186.0,310.0,78.25126976,78.6795586,78.4471,78.987,78.3,9932986.8,0.0,6.0,0.0,9932986.8,1655497.8,10446.369523809524,83077632.0
WEST PULLMAN,53.0,-87.635745,41.67382,83.4,86.2,8.6214251276781,156.577781,148.56918,138.139815,160.654365,1228.107587,1319.367049,1289.628058,1307.091347,87.318179,111.323982,143.82024,133.284457,24.768272,21.938943,27.719746,31.651517,411.310597,432.385307,447.97093,440.545415,581.90755160501,455.871708399016,403.51620923072,383.611176840981,9.79208231163228,13.2851129748406,11.6259479981295,11.9292903760453,35.5,24.5,38.5,38.5,110.5375158,689.7825099,45.0,53.4,15.2508054065195,70.6,81.4,62.3,61.5,86.047350554595,18.184708590896,17.1349531149153,22.4085819475968,42.9,34.0,41.8,48.4,1.22578369157121,26700.344133,9.1,39.7,58.0,4.7,217.2,621.0,70.463293092,69.67128575,70.5622,71.9554,72.0,1406988.0,42827.0,5.0,2.0,1449815.0,281397.6,21413.5,99247104.0
HEGEWISCH,55.0,-87.556803,41.668188,82.3,80.6,9.81930244286755,3.98641,11.866546,5.993262,7.963135,168.220399,236.220087,244.187203,198.938705,10.864941,10.85892,10.861863,5.941262,1.973427,3.963023,5.921845,1.972056,32.675882,48.426807,42.491791,41.507585,193.440719244619,111.015332553323,108.91201197104,105.371522785616,9.67585806648844,13.2663839031946,11.6087716677647,11.8168049530086,23.2,27.8,18.1,18.1,97.07890582,631.550254,49.9,47.6,6.61152301757209,57.5,57.8,73.7,70.2,84.5344642619786,16.4961353252062,6.12257567796463,16.790797359054,33.1,29.2,38.8,41.2,7.19641469507098,9003.049938,10.8,26.2,13.0,15.5,170.3,152.0,77.241165322,78.26511053,77.317,79.1156,77.2,6044385.600000001,0.0,3.0,0.0,6044385.600000001,2014795.2000000002,14703.883333333331,146082816.0
GARFIELD RIDGE,56.0,-87.764246,41.796185,79.7,79.2,8.10110095503357,71.530075,63.495775,51.889036,52.072036,692.182538,748.671573,684.178709,826.231563,26.857482,32.409199,56.844437,49.400301,11.554997,10.967784,8.981983,14.406833,81.782926,93.771848,118.049693,124.498042,1273.38842434384,1090.39366460056,1124.58774099259,1106.72497661581,10.052845788358,13.2457122542107,11.6710111810261,12.1938762441374,18.1,17.0,9.7,9.7,81.06427862,610.3805867,37.3,41.7,10.480698135066,81.1,83.2,84.9,88.4,82.3757150831533,20.6797441289567,8.87480717843285,8.4699102500327,27.3,27.5,39.8,31.3,9.30377288904885,37113.7674,10.8,21.1,36.0,4.7,177.6,688.0,79.938796939,79.10295587,78.3771,78.5809,78.6,2134440.0,0.0,5.0,0.0,2134440.0,426888.0,9975.220833333333,117925632.00000001
